Nom;Région;année;couleur;Prix;origine;cépage;Elevage;Description;conso max;service (degrés);accompagnement;Nez;Bouche
Beaujolais nouveau;Beaujolais;2013;rouge;6,75;Terroir granitique, qui convient particulièrement bien au cépage Gamay. Ce vin est issu d'une vinification traditionn- elle et s'est nourri de ses lies durant plusieurs mois.;Gamay 100%;6 mois en barriques, sur lies.;Jolie robe rouge profond. Nez gourmand, aux arômes dominants de fruits rouges (cerises, framboises, fraises) et de pâtes de fruits (cuberdon). L'attaque est souple et juteuse, la suite dense, racée et généreuse. L'ensemble est intensément parfumé, frais et gouleyant. Tout simplement délicieux!;2016;15;tomate Mozzarella, Charcuterie, camembert, brie, Omelette, Chicon au gratin, Barbecue;Nez gourmand, aux arômes dominants de fruits rouges (cerises, framboises, fraises) et de pâtes de fruits (cuberdon);L'attaque est souple et juteuse, la suite dense, racée et généreuse.
Chiroubles;Beaujolais;2013;rouge;8,41;Terroir granitique et schisteux d'origine volcanique. C'est dans cette région que ce cépage donne le meilleur de lui-même.;Gamay Noir à jus blanc à 100 %.;Elevage de 6 mois en barriques de chêne. Bouchage liège naturel.;Nez tendrement parfumé, dominé par les fruits rouges (groseilles, fraises) et les épices. Cette sensation fruitée se poursuit en bouche avec une nuance florale et minérale. Beau souvenir d'un vin tendre et expressif, au fruité harmonieux.;2019;15;Charcuterie, Volaille, Waterzooi, Blanquette de veau, fondue savoyarde, Pizza, Asperge, Salade;Nez tendrement parfumé, dominé par les fruits rouges (groseilles, fraises) et les épices;Cette sensation fruitée se poursuit en bouche avec une nuance florale et minérale.
Saint amour;Beaujolais;2014;rouge;11,43;Cru réputé du Beaujolais, partie nord. Sol granitique et schisteux d'origine volcanique. Présence calcaire à Saint-Amour.;Gamay Noir à jus blanc. C'est ici qu'il donne le meilleur de lui-même.;Un élevage de 12 mois en barrique de 2 vins a permis à ce cru de développer toute sa complexité.;On ne peut résister au charme de ce cru du Beaujolais ! Les arômes de fruits rouges juteux et d'épices (réglisse, muscade) se mêlent. L'ensemble est gourmand, alliant merveilleusement fruit, rondeur et fraîcheur. La finale veloutée et crémeuse est d'une grande finesse. Laisse le délicieux souvenir d'un vin tendre et généreux. Superbe!;2020;15;Tarte salée, Charcuterie, Viande blanche, fondue savoyarde, Plat asiatique, viande parfumée;Les arômes de fruits rouges juteux et d'épices (réglisse, muscade) se mêlent;L'ensemble est gourmand, alliant merveilleusement fruit, rondeur et fraîcheur.
Florilège Pauillac;Bordeaux;2011;rouge;30,65;"Pauillac, terroir ayant un amoncellement plus important que les autres communes du Médoc de graves garonnaises. Un cru digne de figurer dans notre famille ""Florilège"".";Cabernet Sauvignon majoritairement. Merlot et Petit Verdot. Sols pauvres avec enracinnement profond des racines.;19 mois en barriques (1/3 neuf - 2/3 de 3 ans);Robe velours. Le nez est concentré, sur les fruits noirs, avec une touche bois de vigne et une note réglisse. Inévitablement, la bouche est puissante, mais les tannins sont élégants et bien enrobés. Laisse le souvenir d'un cru d'une grande profondeur, à la fois structuré et aimable, d'une remarquable distinction. Le compagnon idéal des préparations de gibier.;2024;17;;Le nez est concentré, sur les fruits noirs, avec une touche bois de vigne et une note réglisse. ;Inévitablement, la bouche est puissante, mais les tannins sont élégants et bien enrobés.
Château perrouquet graves;Bordeaux;2014;rouge;9,22;Au sud de la région des Graves sur un terroir de graves garonnaises, sol de prédilection du cabernet sauvignon.;80% merlot, 20% cabernet sauvignon.;;Nez bouqueté, aux arômes déjà très expressifs et bien épanouis. Ce cru est fidèle à lui même en 2014, avec du fond, du gras, et une très belle palette aromatique. Garde normale.;2019;15;Tarte salée, Tapas, Magret, Dinde farcie, Dinde rotie, Poulet rôti, Viande rouge, Carré d'agneau, Steak, Entrecôte , Rosbeef, Veau, Ris de veau, Porc;Nez bouqueté, aux arômes déjà très expressifs et bien épanouis.;Ce cru est fidèle à lui même en 2014, avec du fond, du gras, et une très belle palette aromatique
Sauvignon d'aquitaine;Bordeaux;2015;blanc;5,54;Région de Cadillac. Rive droite des coteaux qui bordent la Garonne, en face de Cérons. Le vignoble est situé à 100 m d'altitude et complanté entièrement du cépage Sauvignon.;Sauvignon pur.;;Belle robe pâle aux reflets verts. Dès la mise au nez, on est séduit par l'intensité aromatique de ce Sauvignon. Les arômes de cassis se mêlent à des nuances exotiques (ananas) et d'agrumes mûrs. Les saveurs composent en équilibre entre rondeur et fraîcheur. La finale est savoureuse, pleine de charme. Voici un excellent Sauvignon à la fois frais (mais sans excès) et aromatique. Plus que jamais un vin plaisir à découvrir ou re-découvrir !;2018;9;Crevette, Moule, Poisson, truite, sandre, Fromage de chèvre, Raclette, Choucroute, Aperitif;Dès la mise au nez, on est séduit par l'intensité aromatique de ce Sauvignon. Les arômes de cassis se mêlent à des nuances exotiques (ananas) et d'agrumes mûrs.;Les saveurs composent en équilibre entre rondeur et fraîcheur. La finale est savoureuse, pleine de charme
Chablis;Bourgogne;2014;blanc;15,95;Bourgogne septentrionale. Sols de nature argilo-calcaire. Présence de nombreux fossiles d'origine marine. Vignoble planté en coteaux bien exposés.;"Chardonnay (nommé sur place le ""Beaunois"").";Elevage de 6 mois en barrique de chêne.;Nez typé, frais, alliant le fruit à une note citronnée, et une touche minérale (iode). Ces sensations se prolongent en bouche. L'ensemble est minéral, net et racé. La finale, avec du relief, laisse un excellent souvenir. Bon équilibre corps-fraîcheur. Un grand classique, très polyvalent.;2017;10;;Nez typé, frais, alliant le fruit à une note citronnée, et une touche minérale (iode);L'ensemble est minéral, net et racé
Saint romain;Bourgogne;2015;blanc;22,6;Au coeur de la Côte-de-Beaune, à l'Ouest d'Auxey-Duresses et de Meursault. Ce vignoble d'altitude (entre 300 et 400 m) convient particulièrement à la culture du Chardonnay à l'origine de vins blancs à forte personnalité, sur le fruit et la minéralité;100% Chardonnay.;;On est séduit par l'intensité aromatique où les arômes de fruits du verger et de citron s'associent à des nuances beurrées et d'amande délicatement torréfiée. Belle intensité et tension en bouche, alliant complexité et élégance. Finale de grande unité, laissant un excellent souvenir. Voici un magnifique cru de Côte-de-Beaune avec beaucoup de personnalité et d'élégance. A découvrir ou re-découvrir!;2022;12;Saint Jacques, Poissos poché, Poissons vapeur, poisson papillotte, Cabillaud, Volaille, Poisson, crustacé;On est séduit par l'intensité aromatique où les arômes de fruits du verger et de citron s'associent à des nuances beurrées et d'amande délicatement torréfiée;Belle intensité et tension en bouche, alliant complexité et élégance.
Pouilly vinzelles;Bourgogne;2013;blanc;17,4;Grand Bourgogne blanc du Mâconnais. Petite AOC de 50 ha, voisine de Pouilly-Fuissé (+ de 700 ha). Collines calcaires, riches en sols alcalins.;100 % Chardonnay, sur un terroir qui lui convient particulièrement.;Elevage de 6 mois en barrique d'un an.;Un superbe cru blanc ! Nez délicat et complexe, aux arômes de fruits du verger (pomme, poire) associés a des nuances de miel et d'amande. La bouche est savoureuse, volumineuse, bien ronde. La finale est généreuse et le souvenir tellement charmeur. Un cru d'un remarquable équilibre, de grande classe!;2018;9;Crustacé, Gambas, Homard, Langouste, Saint Jacques, Tourteau, Poisson, Ris de veau, Tomate farcie;Nez délicat et complexe, aux arômes de fruits du verger (pomme, poire) associés a des nuances de miel et d'amande;La bouche est savoureuse, volumineuse, bien ronde
irancy;Bourgogne;2012;rouge;13,98;Bourgogne originaire du Chablisien. Marnes et calcaires du Jurassique Supérieur (compris entre -146 et -138 millions d'années).;Pinot Noir 98% + 2% César (cépage local ancien).;Elevage de 12 mois en fûts de chêne.;Belle robe brillante. Le nez est profond, bien mût, mêlant les arômes de griotte, de fraise des bois et de tabac. Dès l'attaque, on apprécie le volume, et la maturité du fruit. La typicité pinot ressort très bien sur la finale. A (re)découvrir !!;2018;16;;Le nez est profond, bien mût, mêlant les arômes de griotte, de fraise des bois et de tabac.;Dès l'attaque, on apprécie le volume, et la maturité du fruit.
